Colonne1,Région,Dpt,FINNES,Raison.sociale,Complement.distribution,Adresse,Lieudit.BP,Code.postal,Libelle.routage,Tel,nom correspondant,mail,logiciel,RPU (oui/non)
624,BOURGOGNE,Yonne,890975550,CH SENS,,1 AVENUE PIERRE DE COUBERTIN,BP 808,89108,SENS CEDEX,03 86 86 15 15 ,,,,
625,BOURGOGNE,Yonne,890975568,CH TONNERRE,,RUE DES JUMERIAUX,,89700,TONNERRE,03 86 54 33 00,,,,
121,BRETAGNE,Côte d'Armor,220000012,CENTRE HOSPITALIER YVES LE FOLL,CH DE ST BRIEUC,10 RUE MARCEL PROUST,BP 2367,22023,ST BRIEUC CEDEX 1,02 96 01 71 23  ou 72 82,,marie-rose.rothe@ch-sybrieuc.fr,ResUrgences,OUI
122,BRETAGNE,Côte d'Armor,220000095,CTRE HOSPITALIER DINAN,CH R PLEVEN,56 RUE CHATEAUBRIAND,BP 56,22101,DINAN CEDEX,02 96 85 72 85 ou 72 00,,"secretariat.urgences@ch-dinan.fr
samir.jabre@ch-dinan.fr",NON Informatisé,OUI
123,BRETAGNE,Côte d'Armor,220000343,CENTRE HOSPITALIER GUINGAMP,,17 RUE DE L'ARMOR,,22200,GUINGAMP,02 96 44 56 56 OU 34,,nadia.georges@ch-guingamp.fr,,NON
124,BRETAGNE,Côte d'Armor,220000368,CENTRE HOSPITALIER LANNION,,KERGOMAR,BP 248,22303,LANNION CEDEX,02 96 05 71 11 ,,"secretariat-urgences@ch-lannion.fr
cgelee@ch-lannion.fr",ResUrgences,OUI
125,BRETAGNE,Côte d'Armor,220000541,CENTRE HOSPITALIER PAIMPOL,,CHEMIN DE MALABRY,BP 91,22501,PAIMPOL CEDEX,02 96 55 60 00 poste 6550,,"urgences.secretaire@ch-paimpol.fr
catherine.ferrand@ch-paimpol.fr",Orbis,OUI
154,BRETAGNE,Finistère,290000025,CHIC QUIMPER,,14 AVENUE YVES THEPOT,,29107,QUIMPER CEDEX,02 98 52 60 60 ou 6235,,g.mehu@ch-cornouaille.fr,MAIL ATTENTE REPONSE,OUI
155,BRETAGNE,Finistère,290000033,C.H. DES PAYS DE MORLAIX,,15 RUE KERSAINT GILLY,BP 97237,29672,MORLAIX CEDEX,02 98 62 61 60 ,,aprincipe@ch-morlaix.fr,Medis Urg,OUI
156,BRETAGNE,Finistère,290000058,CHRU BREST SITE HOPITAL MORVAN,,5 AVENUE FOCH,BP 824,29609,BREST CEDEX 2,02 98 22 33 33 ou 22 34 38,pédiatrie,,,OUI
157,BRETAGNE,Finistère,290000066,CENTRE HOSPITALIER CONCARNEAU,LE PORZOU,61 ROUTE DE TREGUNC,,29900,CONCARNEAU,02 98 50 30 30 ou 52 68 15 ,,,,OUI
158,BRETAGNE,Finistère,290000173,CH FERDINAND GRALL LANDERNEAU,,1 ROUTE DE PENCRAN,LD LAVALLOT,29207,LANDERNEAU CEDEX,02 98 21 80 00 ou 80,,j.treguer@hopital-landerneau.fr,MAIL ATTENTE REPONSE,OUI
159,BRETAGNE,Finistère,290000181,CENTRE HOSPITALIER DOUARNENEZ,,83 RUE LAENNEC,BP 156,29171,DOUARNENEZ CEDEX,02 98 75 10 10 OU 15 15,,myriam.zyro@ch-douarnenez.fr,MAIL ATTENTE REPONSE,NON
160,BRETAGNE,Finistère,290000256,CHRU BREST SITE HOPITAL DE CARHAIX,,RUE DR MENGUY,BP 157,29835,CARHAIX PLOUGUER CEDEX,02 98 99 20 20 ou 23 00,,,,OUI
161,BRETAGNE,Finistère,290000728,HOPITAL INSTRUCTION DES ARMEES,,RUE COLONEL FONFERRIER,,29240,BREST CEDEX 9,02 98 43 70 00 ,,,,OUI
162,BRETAGNE,Finistère,290000785,ETABLISSEMENT DE SOINS HOTEL DIEU,,RUE ROGER SIGNOR,BP 67,29120,PONT L ABBE,02 98 82 40 40 ,,,,OUI
163,BRETAGNE,Finistère,290000934,C.H DE QUIMPERLE SITE LA VILLENEUVE,,20 AVENUE MARECHAL LECLERC,,29391,QUIMPERLE CEDEX,02 98 96 60 00 ou 62 15,,"e.gueguen@ch-quiperle.fr
e.renaud@ch-quimperle.fr","pas d'informatisation déploiement partiel par 
SILLAGE nov 2014",NON 
164,BRETAGNE,Finistère,290004324,CHRU BREST SITE HOPITAL CAVALE BLANCHE,,BOULEVARD TANGUY PRIGENT,BP 824,29609,BREST CEDEX 2,02 98 22 33 33 ou 34 74 57 ,,philippe.coat@chu-brest.fr,URQUAL,OUI
165,BRETAGNE,Finistère,290019777,POLYCLINIQUE DE KERAUDREN,,RUE ERNESTINE DE TREMAUDAN,BP 62043,29220,BREST CEDEX 2,02 98 34 29 29 ,,,,OUI
166,BRETAGNE,Finistère,290029982,SMUR SITE CH DOUARNENEZ - CHIC,,83 RUE LAENNEC,BP 156,29100,DOUARNENEZ,,,,,NON
223,BRETAGNE,Ille et Vilaine,350000121,CHP SAINT GREGOIRE,,6 BOULEVARD DE LA BOUTIERE,CS 56816,35768,ST GREGOIRE CEDEX,02 99 23 33 33 ,,,,OUI
224,BRETAGNE,Ille et Vilaine,350000147,CENTRE HOSPITALIER SAINT-MALO,CH BROUSSAIS,1 RUE DE LA MARNE,,35403,ST MALO CEDEX,02 99 21 21 21 OU 28.36,,"I.basle@ch-stmalo.fr
I.verley@ch-stmalo.fr",MAIL ATTENTE REPONSE,OUI
225,BRETAGNE,Ille et Vilaine,350000154,C.H FOUGERES,,133 RUE DE LA FORET,BP 10561,35305,FOUGERES CEDEX,02 99 17 70 00 ou 70,,"medecins.urgences@ch-fougeres.fr
craffay@ch-fougeres.fr",SILLAGE,OUI
226,BRETAGNE,Ille et Vilaine,350000162,CENTRE HOSPITALIER DE REDON,,8 AVENUE ETIENNE GASCON,BP 139,35603,REDON CEDEX,02 99 71 71 71 OU 96,,eric.herno@ch-redon.fr,MAIL ATTENTE REPONSE,NON
227,BRETAGNE,Ille et Vilaine,350000188,CENTRE HOSPITALIER   VITRE,,30 ROUTE DE RENNES,,35506,VITRE CEDEX,02 99 74 14 14 OU 62,,"secretariat.urgences@ch-vitre.fr
Patrick.wiener@ch-vitre.fr",SILLAGE, OUI partiellement
228,BRETAGNE,Ille et Vilaine,350000741,CHRU RENNES SITE PONTCHAILLOU,PONTCHAILLOU,2 RUE HENRI LE GUILLOUX,,35000,RENNES,02 99 28 43 21 ou 93 40,,"secretariatsau@chu-rennes.fr
philippe.seguin@chu-rennes.fr",ResUrgences,OUI
229,BRETAGNE,Ille et Vilaine,350005146,HOPITAL PRIVE SEVIGNE,,3 RUE DU CHENE GERMAIN,CS 27608,35576,CESSON SEVIGNE CEDEX,02 99 25 50 50 ,,,,OUI
230,BRETAGNE,Ille et Vilaine,350007084,CHRU RENNES SITE HOPITAL SUD,,16 BOULEVARD DE BULGARIE,BP 90349,35000,RENNES,02 99 26 67 44 ,,,,OUI
338,BRETAGNE,Morbihan,560000127,CHBA SITE DE VANNES,,20 BOULEVARD GENERAL M GUILLAUDOT,BP 70555,56017,VANNES CEDEX,02 97 01 41 41 ,,,,OUI
339,BRETAGNE,Morbihan,560000135,CHBS- HOPITAL DU SCORFF,SITE BODELIO,5 AVENUE DE CHOISEUL,BP 12233,56322,LORIENT CEDEX,02 97 06 90 90 ,,sec.urgence@ch-bretagne-sud.fr,MAIL ATTENTE REPONSE,OUI
340,BRETAGNE,Morbihan,560000143,CHCB- SITE KERIO,,KERIO,BP 23,56920,NOYAL PONTIVY,02 97 79 00 00 ,,,,OUI
341,BRETAGNE,Morbihan,560000192,CENTRE HOSPITALIER DE PLOERMEL,,7 RUE DU ROI ARTHUR,BP 131,56800,PLOERMEL,02 97 73 26 26 ,,tarik.cherfaoui@ch-ploermel.fr,MAIL ATTENTE REPONSE,OUI
342,BRETAGNE,Morbihan,560000200,CHBA SITE D'AURAY,,2 RUE DU PRATEL,,56400,AURAY,02 97 56 42 42 ,,,,OUI 
343,BRETAGNE,Morbihan,560024457,ANTENNE URGENCE SITE D'AURAY CHBA,,RUE DU DOCTEUR LAENNEC,,56400,AURAY,,,,,
107,CENTRE,Cher,180000010,CH  BOURGES - JACQUES COEUR,,145 AVENUE F MITTERAND,,18020,BOURGES CEDEX,"02 48 48 48 48 
poste 5628",,"secretariat.urgences@ch-bourges.fr
frederique.lacampagne@ch-bourges.fr",MAIL ATTENTE REPONSE,
108,CENTRE,Cher,180000200,CH DE VIERZON,,33 RUE LEO MERIGOT,BP 202,18102,VIERZON CEDEX,02 48 52 33 33 ou 32.66,,securgences@ch-vierzon.fr,MAIL ATTENTE REPONSE,
109,CENTRE,Cher,180000283,CH SAINT AMAND-MONTROND,,44 AVENUE JEAN JAURES,BP 180,18200,ST AMAND MONTROND,02 48 63 25 25 ou 25 38,,urgences@ch-stamandmontrond.com,MAIL ATTENTE REPONSE,
149,CENTRE,Eure et Loir,280000084,CH DREUX,,44 AVENUE PRESIDENT JOHN-FIT- KENNEDY,BP 69,28102,DREUX CEDEX,02 37 51 52 53 ou 51 69,,fdelefosse@ch-dreux.fr,MAIL ATTENTE REPONSE,
150,CENTRE,Eure et Loir,280000662,CH CHATEAUDUN,,ROUTE JALLANS,BP 110,28205,CHATEAUDUN CEDEX,02 37 44 40 40ou 55 ,,"domartin@ch-chateaudun.fr
urgences@ch-chateaudun.fr",MAIL ATTENTE REPONSE,OUI
151,CENTRE,Eure et Loir,280502998,CH NOGENT LE ROTROU - NOUVEL HOPITAL,NOUVEL HOPITAL,AVENUE DE L'EUROPE,BP 169,28401,NOGENT LE ROTROU CEDEX,02 37 53 75 75 OU 02 ,,d.diallo@ch-nogentlerotrou.fr,MAIL ATTENTE REPONSE,
152,CENTRE,Eure et Loir,280504267,CH CHARTRES LOUIS PASTEUR-LE COUDRAY,,4 RUE CLAUDE BERNARD,,28630,LE COUDRAY,02 37 30 30 30 ou 74,,erevue@ch-chartes.fr,,
153,CENTRE,Eure et Loir,280505777,NOUVELLE CLINIQUE SAINT FRANCOIS,,2 RUE ROLAND BUTHIER,,28300,MAINVILLIERS,02 37 18 41 00 ,,,,OUI
231,CENTRE,Indre,360000038,CH LA TOUR BLANCHE -  ISSOUDUN,,AVENUE JEAN BONNEFONT,BP 190,36105,ISSOUDUN CEDEX,02 54 03 54 03 ou 00,,ahmed.zaoui@ch-issoudun.fr,MAIL ATTENTE REPONSE,OUI
232,CENTRE,Indre,360000137,CH CHATEAUROUX,,216 AVENUE DE VERDUN,BP 585,36019,CHATEAUROUX CEDEX,02 54 29 60 00 ,,"secretariat.urgences@ch-chateauroux.fr
louis.soulat@ch-chateauroux.fr",DX CARE,OUI
233,CENTRE,Indre,360000160,CH DU BLANC,,5 RUE PIERRE MILON,BP 202,36300,LE BLANC,02 54 28 28 28 ou 85,,"sec.urgences@ch-leblanc.fr
farouk.eldalati@ch-leblanc.fr",MAIL ATTENTE REPONSE,
234,CENTRE,Indre et Loire,370000093,CLINIQUE DE L'ALLIANCE - ST CYR/LOIRE,,1 BOULEVARD ALFRED NOBEL,,37540,ST CYR SUR LOIRE,02 47 88 37 37 ou 15,,,,
235,CENTRE,Indre et Loire,370000499,CHRU CLOCHEVILLE - TOURS,,49 BOULEVARD BERANGER,,37044,TOURS CEDEX 9,02 47 47 60 99 ou 91 00,pédiatrie,y.marot@chu-tours.fr,MAIL ATTENTE REPONSE,
236,CENTRE,Indre et Loire,370000531,CH DU CHINONAIS - Hôpital François Rabelais,,28 ROUTE DEPARTEMENTALE 751,BP 248,37500,ST BENOIT LA FORET,02 47 93 75 72 ou 76 61,,,,
237,CENTRE,Indre et Loire,370000879,CHIC - AMBOISE- HOPITAL ROBERT DEBRAY,,RUE DES URSULINES,BP 329,37403,AMBOISE CEDEX,02 47 23 33 33 OU 92,,maitali@chicacr.fr,MAIL ATTENTE REPONSE,
238,CENTRE,Indre et Loire,370000903,CH les rives de l'Indre - LOCHES,,1 RUE DU DOCTEUR MARTINAIS,,37600,LOCHES,02 47 91 33 33 ,,cherif-lamrani@ch-loches.fr,MAIL ATTENTE REPONSE,OUI
239,CENTRE,Indre et Loire,370004467,CHRU TROUSSEAU - CHAMBRAY,,AVENUE DE LA REPUBLIQUE,,37170,CHAMBRAY LES TOURS,02 47 47 47 47 OU 81 09,,r.lamotte@chu-tours.fr,MAIL ATTENTE REPONSE,
240,CENTRE,Indre et Loire,370007569,PÃ”LE SANTÃ‰ LÃ‰ONARD DE VINCI,,1 AVENUE DU PROF ALEXANDRE MINKOWSKI,BP 70560,37175,CHAMBRAY LES TOURS CEDEX,02 47 22 21 11 ou 00,,,,
,CENTRE,Indre et Loire,,CH CHINON,,rte de Tours BP 248,,37704,CHINON Cedex,02 47 93 75 00,,t.scheig@ch-chinon.fr,MAIL ATTENTE REPONSE,
264,CENTRE,Loir et Cher,410000020,CH BLOIS,,MAIL PIERRE CHARLOT,,41016,BLOIS CEDEX,02 54 55 66 33 ou 53 65 45,,"sec.uau@ch-blois.fr
chekroa@ch-blois.fr",MAIL ATTENTE REPONSE,
265,CENTRE,Loir et Cher,410000038,CH VENDOME,,98 RUE POTERIE,BP 108,41100,VENDOME,02 54 23 33 33 ,,m.hilal@ch-bendome.fr,MAIL ATTENTE REPONSE,OUI
266,CENTRE,Loir et Cher,410000046,CH ROMORANTIN-LANTHENAY,,96 RUE DES CAPUCINS,BP 148,41206,ROMORANTIN LANTHENAY CEDEX,02 54 88 33 00 ,,"urgences@ch-romorantin.fr
i.suffys@ch-romoprantin.fr",CORA,OUI
285,CENTRE,Loiret,450000021,CHRO - HÃ”PITAL MADELEINE,,1 RUE PORTE-MADELEINE,BP 2439,45032,ORLEANS CEDEX 1,02 38 51 44 44 ,,,,OUI
286,CENTRE,Loiret,450000047,CH DEZARNAULDS - GIEN,,2 AVENUE JEAN VILLEJEAN,BP 89,45503,GIEN CEDEX,02 38 29 38 29 ou 38,,pj.gilavert@ch-gien.com,AXIGATE,OUI
287,CENTRE,Loiret,450000062,CH AGGLOMERATION MONTARGOISE,,658 RUE DES BOURGOINS,BP 725,45207,AMILLY CEDEX,02 38 95 91 11 ou 75,,wnicola@ch-montargis.fr,MAIL ATTENTE REPONSE,OUI
288,CENTRE,Loiret,450000070,CH PITHIVIERS,,10 BOULEVARD BEAUVALLET,BP 700,45307,PITHIVIERS CEDEX,02 38 32 31 31 ou 82,,urgences.pithiviers@ch-pithiviers.fr,MAIL ATTENTE REPONSE,
289,CENTRE,Loiret,450000294,CLINIQUE LA REINE BLANCHE,POLE DE SANTE ORELIANCE,555 AVENUE JACQUELINE AURIOL,,45770,SARAN,02 38 79 60 40 ,,,,
290,CENTRE,Loiret,450002613,CHRO - HOPITAL LA SOURCE -,,14 AVENUE DE L'HOPITAL,BP 6709,45100,ORLEANS,02 38 51 44 44 ou 4351,,olivier.maitre@chr-orleans.fr,MAIL ATTENTE REPONSE,
38,CHAMPAGNE ARDENNES,Ardennes,80000110,CENTRE HOSPITALIER DE SEDAN,,2 AVENUE GENERAL MARGUERITTE,CS 40903,8209,SEDAN CEDEX,03 24 22 80 00 ,Dr Patrick CHABOT,"chabot.p33@wanadoo.fr
p.chabot@ch-sedan.fr",CristalNet,OUI
39,CHAMPAGNE ARDENNES,Ardennes,80000219,CENTRE HOSPITALIER DE RETHEL,,1 PLACE HOURTOULE,,8300,RETHEL,03 24 38 66 66 ,Dr Abdellatif DIANI,abedlattif.diani@ch-ghsa.fr,Polymedis,OUI
40,CHAMPAGNE ARDENNES,Ardennes,80000276,CENTRE HOSPITALIER DE VOUZIERS,,12 RUE HENRIONNET,,8400,VOUZIERS,03 24 30 71 00 ,Dr Abdellatif DIANI,abdelattif.diani@ch-ghsa.fr,Polymedis,OUI
41,CHAMPAGNE ARDENNES,Ardennes,80000425,HOPITAL MANCHESTER - CH CHARLEVILLE,,45 AVENUE DE MANCHESTER,BP 10900,8011,CHARLEVILLE MEZIERES CEDEX,03 24 58 70 70 ,Dr Xavier FONTAINE,xfontaine@ch-charleville-mezieres.fr,Urqual,OUI PARTIELLEMENT
42,CHAMPAGNE ARDENNES,Ardennes,80009814,ANTENNE DE SMUR - CH CHARLEVILLE,,PLACE DU BATY,,8170,FUMAY,,Antenne SMUR,,NA,
46,CHAMPAGNE ARDENNES,Aube,100000090,CENTRE HOSPITALIER DE TROYES,,101 AVENUE ANATOLE FRANCE,,10003,TROYES CEDEX,03 25 49 49 49 ,Dr Alain HUGEROT,alain.hugerot@ch-troyes.fr,RESURGENCE,OUI
47,CHAMPAGNE ARDENNES,Aube,100000116,CENTRE HOSPITALIER DE BAR SUR AUBE,,2 RUE GASTON CHEQ,,10200,BAR SUR AUBE,03 25 27 09 97 ,Antenne SMUR,,NA,
48,CHAMPAGNE ARDENNES,Aube,100000199,CENTRE HOSPITALIER DE ROMILLY/SEINE,,AVENUE PAUL V COUTURIER,,10105,ROMILLY SUR SEINE CEDEX,03 25 21 96 00 ,Dr Céline MORETTO,cmoretto@gham.fr,Polymedis,OUI
312,CHAMPAGNE ARDENNES,Marne,510000169,CENTRE HOSPITALIER DE CHALONS,,51 RUE DU COMMANDANT DERRIEN,,51005,CHALONS EN CHAMPAGNE CEDEX,03 26 69 60 60 ,Dr Marc NOIZET,mnoizet@ch-chalonsenchampagne.fr,Polymedis,OUI
313,CHAMPAGNE ARDENNES,Marne,510000185,POLYCLINIQUE DE COURLANCY,,38 RUE DE COURLANCY,,51057,REIMS CEDEX,03 26 77 26 77 ,NA,scp.ctba@groupe-courlancy.com,Dopa urgences,OUI
314,CHAMPAGNE ARDENNES,Marne,510000193,POLYCLINIQUE SAINT ANDRE,,18 RUE DE L ECU,,51052,REIMS CEDEX,03 26 05 55 55 ,NA,saint-andre.urgences@groupe-saint-andre.com,Dopa urgences,OUI
315,CHAMPAGNE ARDENNES,Marne,510000235,CENTRE HOSPITALIER D'EPERNAY,,137 RUE DE L HOPITAL,BP 137,51205,EPERNAY CEDEX,03 26 58 70 70 ,Dr Laurent LEFLON,laurent.leflon@ch-epernay.fr,NAFAMA,OUI
316,CHAMPAGNE ARDENNES,Marne,510000250,CENTRE HOSPITALIER VITRY LE FRANCOIS,,2 RUE CHARLES SIMON,BP 413,51308,VITRY LE FRANCOIS CEDEX,03 26 73 60 60 ,Dr Yves ELEGBEDE,"tunde007@aol.com
y.elegbede@ch-vitrylefrancois.fr
",Polymedis,OUI
317,CHAMPAGNE ARDENNES,Marne,510002470,AMERICAN MEMORIAL HOSPITAL CHU REIMS,,47 RUE COGNACQ JAY,,51092,REIMS CEDEX,03 26 78 78 78 ,Dr Carole CAROLET,ccarolet@chu-reims.fr,Urqual,OUI
318,CHAMPAGNE ARDENNES,Marne,510004302,HOPITAL MAISON BLANCHE CHU REIMS,,45 RUE COGNACQ JAY,,51092,REIMS CEDEX,03 26 78 78 78 ,Dr Béatrice DIGEON,bdigeon@chu-reims.fr,Urqual,OUI
319,CHAMPAGNE ARDENNES,Marne,510023914,ANTENNE DE SMUR - CH CHALONS,,12 RUE FLORION,,51800,STE MENEHOULD,,Antenne SMUR,,NA,
320,CHAMPAGNE ARDENNES,Marne,510023922,ANTENNE DE SMUR - GHAM,,16 RUE DES RECOLLETS,,51120,SEZANNE,,Antenne SMUR,,NA,
321,CHAMPAGNE ARDENNES,haute Marne,520000027,CENTRE HOSPITALIER DE CHAUMONT,,2 RUE JEANNE D'ARC,,52014,CHAUMONT CEDEX,03 25 30 70 30 ,Dr Jacques MILLERON,"jacques.milleron@ch-chaumont.fr
david.pillay@ch-chaumont.fr",CristalNet,OUI
322,CHAMPAGNE ARDENNES,haute Marne,520000043,CENTRE HOSPITALIER DE LANGRES,,10 RUE DE LA CHARITE,,52200,LANGRES,03 25 87 88 88 ,Dr Vincent ESCUDIER,v.escudier@ch-langres.fr,CristalNet,OUI
323,CHAMPAGNE ARDENNES,haute Marne,520000068,CH GENEVIEVE DE GAULLE ANTHONIOZ,,1 RUE ALBERT SHWEITZER,,52115,ST DIZIER CEDEX,03 25 56 84 84 ,Dr Bruno MARINTHE,bruno.marinthe@ch-saintdizier.fr,DX CARE,OUI
167,CORSE,Corse du Sud,2A0000022,CH ND LA MISERICORDE,,27 AVENUE IMPERATRICE EUGENIE,,20184,AJACCIO CEDEX 1,04 95 29 90 90 ,,,TU-ORUPACA,OUI
168,CORSE,Corse du Sud,2A0000154,CLINIQUE DU SUD DE LA CORSE,,RUE DU DOCTEUR JOURDAN,CARREFOUR DE L'OSPÃ‰DALE,20538,PORTO VECCHIO CEDEX,04 95 73 80 00 ,,,TU-ORUPACA,OUI
169,CORSE,Corse du Sud,2A0003125,ANTENNE DU SMUR  SARTENE,HOPITAL LOCAL DE SARTENE,ROUTE DE GROSSA,CACCIABEDDU,20100,SARTENE,04 95 77 95 00 ,Antenne SMUR,,,
170,CORSE,Corse du Sud,2A0003133,ANTENNE DU SMUR PORTO VECCHIO,,,BACAJA,20137,PORTO VECCHIO,,Antenne SMUR,,,
171,CORSE,Corse du Sud,2A0003141,ANTENNE DU SMUR  BONIFACIO,HOPITAL LOCAL DE BONIFACIO,,BP 58,20169,BONIFACIO,04 95 73 95 73 ,Antenne SMUR,,,
172,CORSE,Haute Corse,2B0000012,CENTRE HOSPITALIER DE BASTIA,FALCONAJA,,BP 680,20604,BASTIA CEDEX,04 95 59 11 11 ,,,TU-ORUPACA,OUI
173,CORSE,Haute Corse,2B0000038,CH CORTE,,ALLEE 9 SEPTEMBRE,BP 41,20250,CORTE,04 95 45 05 00 ,,,,
174,CORSE,Haute Corse,2B0005359,CH CALVI,,,LIEU DIT GUAZZOLE,20260,CALVI,,,,TU-ORUPACA,OUI
685,DOM,Guadeloupe,970100384,C. H. DE BRUYN (EX H.L.),GUSTAVIA,,,97133,ST BARTHELEMY,05 90 27 60 35 ,,,,
686,DOM,Guadeloupe,970100392,CENTRE HOSPITALIER DE LA BASSE -TERRE,,AVENUE GASTON FEUILLARD,,97109,BASSE TERRE CEDEX,05 90 80 54 54 ,,,,
687,DOM,Guadeloupe,970100400,C. H. DE MARIGOT,,,BP 381,97150,ST MARTIN,05 90 52 25 25 ,,,,
688,DOM,Guadeloupe,970100426,C.H. STE MARIE,,,,97112,GRAND BOURG,05 90 97 82 64 ,,,,
689,DOM,Guadeloupe,970100442,C.H.U. DE POINTE-A-PITRE/ABYMES,,,BP 465,97139,LES ABYMES,05 90 89 10 10 ,,,,
690,DOM,Guadeloupe,970107249,CLINIQUE 'LES EAUX CLAIRES',,,MOUDONG,97122,BAIE MAHAULT,05 90 97 62 62 ,,,,
691,DOM,Martinique,970211223,CHU DE MARTINIQUE SITE DE TRINITE,,,RUE EUGENE FATIER,97220,LA TRINITE,05 96 55 20 00 ,,,,
692,DOM,Guyane,970300026,CENTRE HOSPITALIER DE CAYENNE,,RUE DES FLAMBOYANTS,BP 6006,97306,CAYENNE CEDEX,05 94 39 50 50 ,,,,
693,DOM,La réunion,970400024,CHU SITE NORD,,ALLEE DES TOPAZES,BP 251,97400,ST DENIS,02 62 90 50 50 ,,,,
694,DOM,La réunion,970400057,CHU SITE SUD (SAINT PIERRE),,AVENUE FRANCOIS MITTERRAND,BP 350 TERRE SAINTE,97448,ST PIERRE CEDEX,02 62 35 90 00 ,,,,
695,DOM,La réunion,970400065,CENTRE HOSPITALIER GABRIEL MARTIN,,38 RUE LABOURDONNAIS,BP 160,97866,ST PAUL CEDEX,02 62 45 30 30 ,,,,
696,DOM,La réunion,970400073,G.H.E.R. SAINT-BENOIT,,30 ROUTE RN 3,,97470,ST BENOIT,02 62 98 80 00 ,,,,
132,FRANCHE CONTE,Doubs,250000114,CH BOULLOCHE MONTBELIARD,,2 RUE DU DOCTEUR FLAMAND,,25209,MONTBELIARD CEDEX,03 81 98 82 09,"Mr. HOFMANN
Mme SERDAND",ohoffmann@chbm.fr,Millenium - Firstnet,OUI depuis mars 2014
133,FRANCHE CONTE,Doubs,250000700,CHI HC SITE RIVES DU DOUBS PONTARLIER,,2 FAUBOURG SAINT ETIENNE,CS 10329,25304,PONTARLIER CEDEX,03 81 38 54 54 ,Mme FRANZIN ,m.franzin@ch-pontarlier.fr,crosway,OUI
134,FRANCHE CONTE,Doubs,250006954,CHRU JEAN MINJOZ,,3 BOULEVARD ALEXANDRE FLEMING,,25030,BESANCON CEDEX,"03 81 66 81 66 stand
03 81 66 74 90 pole urg",Mme DAVID Vanessa,"sau-uhcd@chu-besancon.fr
samu@chu-besancon.fr",ResUrgences,OUI
251,FRANCHE CONTE,Jura,390000040,CH LONS,,55 RUE DU DR JEAN MICHEL,CS 50364,39016,LONS LE SAUNIER CEDEX,03 84 35 60 00 ,Mme DEGRELLE CARTIAUD Nathalie ,cadre.urgences@ch-lons.fr poste 5503,Firstnet Urgence,OUI
252,FRANCHE CONTE,Jura,390000065,CH LOUIS JAILLON SAINT CLAUDE,,2 MONTEE DE L'HOPITAL,BP 153,39206,ST CLAUDE CEDEX,03 84 41 33 33 ,Mme DAVID Chantal,cdavid@ch-stclaude.fr,MAIL ATTENTE REPONSE,
253,FRANCHE CONTE,Jura,390000214,CH CHAMPAGNOLE,,1 RUE DE FRANCHE COMTE,BP 110,39302,CHAMPAGNOLE CEDEX,03 84 53 02 02 ,M. BEGNIS Rodolphe,r.begnis@ch-champagnole.fr,RESURGENCE,NON
254,FRANCHE CONTE,Jura,390000222,CH L PASTEUR DOLE,,73 AVENUE LEON JOUHAUX,CS 20079,39108,DOLE CEDEX,03 84 79 80 90 ,"Mme TOGNY Sabrina 
Dr. GIBEY Sylvain","URGENCES.Cadre@ch-dole.fr 
GIBEY.Sylvain@ch-dole.fr",Millenium - Firstnet,OUI
255,FRANCHE CONTE,Jura,390005742,ANTENNE SMUR DU CH DE LONS,CH L BERARD MOREZ,"RUE DES ESSARTS
consultation non programmée",50085,39403,MOREZ CEDEX,03 84 34 24 45,Dr. SOUSSY,thomas.soussy@gmail.com,POLIMEDIS - EQUAFILE,OUI
473,FRANCHE CONTE,Haute Saone,700000011,CH DU VAL DE SAONE  P VITTER GRAY,,5 RUE DE L'ARSENAL,BP 155,70104,GRAY CEDEX,03 84 64 61 61 ,Mme PINARD,rdinard@ch-gray.fr,Millenium - Firstnet,OUI
474,FRANCHE CONTE,Haute Saone,700000029,CHI HAUTE SAONE SITE VESOUL,,2 RUE HEYMES,BP 409,70014,VESOUL CEDEX,03 84 96 60 31,Mr. PIRES,jl.pires@chi70.fr,RESURGENCES,OUI
475,FRANCHE CONTE,Haute Saone,700780059,CHI HAUTE SAONE SITE LUXEUIL,,12 RUE GRAMMONT,BP 157,70306,LUXEUIL LES BAINS CEDEX,03 84 96 60 60 ,mm cadre que LURE,,,
476,FRANCHE CONTE,Haute Saone,700780208,CHI HAUTE SAONE SITE LURE,,37 AVENUE CARNOT,BP 190,70204,LURE CEDEX,03 84 96 60 60 ,"Mme ZIETEK ? Chantal
03 84 62 42 13 LD
06 73 57 54 98 ",,message répondeur  RAPPELER APRES LE 24/06,
626,FRANCHE CONTE,Terr.Belfort,900000167,CH BELFORT,,14 RUE DE MULHOUSE,BP 499,90016,BELFORT CEDEX,03 84 98 80 00 ,Dr. Savio (Mme Rigault au tél),csavio@chbm.fr,Millenium - Firstnet,OUI en cours depuis nov 2013
141,HAUTE NORMANDIE,Eure,270000045,CH BERNAY,,5 RUE ANNE DE TICHEVILLE,BP 353,27303,BERNAY CEDEX,02 32 45 63 00 ou 69,,secretariat.urgences@ch-bernay.fr,MAIL ATTENTE REPONSE,
142,HAUTE NORMANDIE,Eure,270000326,CLINIQUE CHIRURGICALE PASTEUR EVREUX,,58 BOULEVARD PASTEUR,,27025,EVREUX CEDEX,02 32 38 95 00 ,,,,
